,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
273,PLXS,Plexus Corp.,2.53B,0.83%,7526,4.10B
274,EVTC,"EVERTEC, Inc.",2.46B,0.54%,11342,694.71M
275,WNS,WNS (Holdings) Limited,2.45B,-0.46%,22289,1.30B
276,NABL,"N-able, Inc.",2.44B,0.42%,38086,421.88M
277,INTA,"Intapp, Inc.",2.42B,2.11%,45810,392.15M
278,SIMO,Silicon Motion Technology Corporation,2.42B,0.60%,24962,945.92M
279,ODD,Oddity Tech Ltd.,2.41B,2.36%,170699,508.69M
280,SONO,"Sonos, Inc.",2.33B,-2.63%,320604,1.60B
281,PRGS,Progress Software Corporation,2.31B,0.36%,24961,694.44M
282,CLBT,Cellebrite DI Ltd.,2.28B,0.82%,42107,325.11M
283,JAMF,Jamf Holding Corp.,2.26B,0.20%,51035,560.57M
284,TIXT,TELUS International (Cda) Inc.,2.25B,-1.94%,53257,2.71B
285,ZETA,Zeta Global Holdings Corp.,2.25B,1.36%,132735,728.72M
286,ALKT,"Alkami Technology, Inc.",2.24B,-0.04%,35235,264.83M
287,OSIS,"OSI Systems, Inc.",2.23B,0.55%,2259,1.37B
288,CALX,"Calix, Inc.",2.22B,-0.09%,146644,1.04B
289,VZIO,VIZIO Holding Corp.,2.21B,0.04%,264095,1.68B
290,ROG,Rogers Corporation,2.21B,-1.76%,9044,908.40M
291,VYX,NCR Voyix Corporation,2.20B,-1.66%,502816,3.83B
292,VIAV,Viavi Solutions Inc.,2.19B,-0.91%,120912,1.01B
293,VSAT,"Viasat, Inc.",2.19B,-1.29%,105687,3.80B
294,RAMP,"LiveRamp Holdings, Inc.",2.19B,0.35%,20965,636.44M
295,RUN,Sunrun Inc.,2.17B,-0.96%,2103161,2.26B
296,RUM,Rumble Inc.,2.16B,-2.01%,620811,80.53M
297,DAVA,Endava plc,2.11B,-1.20%,20297,968.73M
298,PRFT,"Perficient, Inc.",2.11B,-0.12%,16573,906.54M
299,PLUS,ePlus inc.,2.10B,1.10%,23398,2.16B
300,AGYS,"Agilysys, Inc.",2.09B,0.67%,4480,228.14M
301,SWI,SolarWinds Corporation,2.07B,-0.56%,41447,758.74M
302,SHLS,"Shoals Technologies Group, Inc.",2.05B,-1.78%,214513,488.94M
303,XRX,Xerox Holdings Corporation,2.04B,-,408276,6.89B
304,AMBA,"Ambarella, Inc.",1.98B,-0.39%,99396,258.18M
305,PD,"PagerDuty, Inc.",1.97B,1.65%,551457,430.70M
306,LSPD,Lightspeed Commerce Inc.,1.96B,3.09%,146399,863.28M
307,IONQ,"IonQ, Inc.",1.94B,-0.97%,1804379,22.04M
308,VRNT,Verint Systems Inc.,1.93B,-0.36%,25599,881.53M
309,SITM,SiTime Corporation,1.92B,0.10%,14072,143.99M
310,UCTT,"Ultra Clean Holdings, Inc.",1.92B,0.71%,25525,1.73B
311,BMBL,Bumble Inc.,1.91B,2.09%,327562,1.05B
312,VECO,Veeco Instruments Inc.,1.90B,1.45%,56227,666.44M
313,UPBD,"Upbound Group, Inc.",1.81B,-1.16%,24955,3.99B
314,ARRY,"Array Technologies, Inc.",1.77B,-1.75%,859913,1.58B
315,PLAB,"Photronics, Inc.",1.77B,1.33%,54710,897.32M
316,GCT,GigaCloud Technology Inc.,1.76B,-16.21%,2401315,584.70M
317,DQ,Daqo New Energy Corp.,1.76B,0.56%,215783,2.31B
318,GRND,Grindr Inc.,1.75B,0.10%,29749,259.69M
319,CNXN,"PC Connection, Inc.",1.70B,0.11%,5374,2.85B
320,FSLY,"Fastly, Inc.",1.69B,0.40%,537184,505.99M
321,SPNS,Sapiens International Corporation N.V.,1.67B,0.40%,10242,514.58M
322,BB,BlackBerry Limited,1.67B,-2.11%,1806201,831.00M
323,ACMR,"ACM Research, Inc.",1.66B,4.39%,585471,557.72M
324,PRO,"PROS Holdings, Inc.",1.63B,0.12%,9528,303.71M
325,SEMR,"Semrush Holdings, Inc.",1.62B,0.63%,22633,307.68M
326,VICR,Vicor Corporation,1.60B,-0.12%,21286,405.06M
327,NATL,NCR Atleos Corporation,1.60B,-2.10%,100729,-
328,VTEX,VTEX,1.60B,-0.29%,56032,201.52M
329,NTCT,"NetScout Systems, Inc.",1.59B,-4.26%,231317,834.11M
330,DCBO,Docebo Inc.,1.58B,-0.54%,12962,180.84M
331,EVCM,EverCommerce Inc.,1.58B,5.68%,29915,675.37M
332,PAYO,Payoneer Global Inc.,1.57B,3.75%,363492,831.10M
333,CSGS,"CSG Systems International, Inc.",1.50B,-0.69%,29562,1.17B
334,STER,Sterling Check Corp.,1.48B,-0.09%,70331,719.64M
335,COHU,"Cohu, Inc.",1.48B,0.60%,25119,636.32M
336,SMTC,Semtech Corporation,1.47B,-0.72%,82125,843.32M
337,EXTR,"Extreme Networks, Inc.",1.45B,-0.44%,347611,1.35B
338,MXL,"MaxLinear, Inc.",1.45B,-0.34%,45236,693.26M
339,GDS,GDS Holdings Limited,1.45B,2.44%,190217,1.35B
340,EVBG,"Everbridge, Inc.",1.44B,0.19%,53930,448.79M
341,TTMI,"TTM Technologies, Inc.",1.43B,1.03%,31758,2.23B
342,COMP,"Compass, Inc.",1.42B,2.90%,2037929,4.89B
343,HLIT,Harmonic Inc.,1.40B,-1.04%,168007,607.91M
344,AVPT,"AvePoint, Inc.",1.39B,-1.26%,41712,271.83M
345,MLNK,"MeridianLink, Inc.",1.38B,-0.39%,39801,303.62M
346,CTS,CTS Corporation,1.38B,-0.09%,14630,550.42M
347,KN,Knowles Corporation,1.37B,0.33%,34871,707.60M
348,JKS,"JinkoSolar Holding Co., Ltd.",1.35B,-0.57%,215820,15.94B
349,DBD,"Diebold Nixdorf, Incorporated",1.32B,0.57%,12964,3.49B
350,BASE,"Couchbase, Inc.",1.31B,-1.36%,95496,171.57M
351,AMPL,"Amplitude, Inc.",1.30B,-0.60%,27368,276.28M
352,ZUO,"Zuora, Inc.",1.27B,0.90%,98618,424.03M
353,CRSR,"Corsair Gaming, Inc.",1.26B,-1.51%,25725,1.46B
354,CSIQ,Canadian Solar Inc.,1.26B,-1.13%,441812,7.61B
355,PDFS,"PDF Solutions, Inc.",1.26B,1.81%,7361,165.84M
356,ETWO,"E2open Parent Holdings, Inc.",1.24B,-1.23%,85819,642.37M
357,FORTY,Formula Systems (1985) Ltd.,1.20B,4.53%,10,2.64B
358,ADEA,Adeia Inc.,1.20B,1.30%,42787,388.79M
359,PAR,PAR Technology Corporation,1.16B,-0.68%,30331,415.82M
